Job,Burn,Inf,AreaTP,AreaFN,AreaFP,CSI,F_3,Bias,Hit_Rate
Geul_8m_inf_15_the_070_alp_050_wd,Ge1Gu075,1.5,8966287.46,215519.2317,4163895.454,0.671848312,0.65569935,0.430021711,0.976527579
Geul_8m_inf_15_the_070_alp_060_wd,Ge1Gu075,1.5,8975667.126,206139.566,4201548.551,0.670658961,0.655256279,0.435144097,0.977549128
Geul_8m_inf_15_the_070_alp_070_wd,Ge1Gu075,1.5,8975900.901,205905.7909,4194208.695,0.671044451,0.655650794,0.434370167,0.977574589
Geul_8m_inf_15_the_070_alp_080_wd,Ge1Gu075,1.5,8978039.664,203767.028,4200158.622,0.670905914,0.655678925,0.435251114,0.977807524
Geul_8m_inf_15_the_080_alp_050_wd,Ge1Gu075,1.5,8921712.095,260094.5965,4056056.217,0.673954108,0.65430633,0.41342208,0.97167283
Geul_8m_inf_15_the_080_alp_060_wd,Ge1Gu075,1.5,8927636.935,254169.7561,4087457.675,0.672805718,0.653650944,0.417487325,0.972318111
Geul_8m_inf_15_the_080_alp_070_wd,Ge1Gu075,1.5,8927256.461,254550.2308,4070323.459,0.673646905,0.654438655,0.415579783,0.972276673
Geul_8m_inf_15_the_080_alp_080_wd,Ge1Gu075,1.5,8943636.256,238170.4358,4102367.679,0.673254958,0.655326073,0.420853692,0.974060613
Geul_8m_inf_15_the_090_alp_060_wd,Ge1Gu075,1.5,8905729.49,276077.2013,4099441.436,0.670549138,0.649762146,0.416406527,0.969932148
Geul_8m_inf_15_the_090_alp_070_wd,Ge1Gu075,1.5,8915315.79,266490.9014,4102698.807,0.671106334,0.651046054,0.417805344,0.970976202
Geul_8m_inf_1_the_070_alp_060_wd,Ge1Gu075,1,8988726.361,193080.3303,4285665.433,0.66743976,0.653102969,0.445727648,0.978971423
Geul_8m_inf_1_the_070_alp_070_wd,Ge1Gu075,1,8990129.559,191677.1329,4295060.276,0.667078601,0.652855923,0.446903674,0.979124247
Geul_8m_inf_1_the_080_alp_050_wd,Ge1Gu075,1,8945223.438,236583.2537,4170143.508,0.669956321,0.652237318,0.428408089,0.974233475
Geul_8m_inf_1_the_080_alp_060_wd,Ge1Gu075,1,8946135.606,235671.0859,4171456.529,0.669958755,0.652309804,0.428650436,0.97433282
Geul_8m_inf_1_the_080_alp_070_wd,Ge1Gu075,1,8946975.307,234831.3847,4170903.208,0.670049404,0.652462608,0.428681626,0.974424273
