Job,Burn,Inf,AreaTP,AreaFN,AreaFP,CSI,F_3,Bias,Hit_Rate
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_2.5_,150Gu075,2.5,8736833.67919709,444973.01238082256,2984712.6204111543,0.7181046160496936,0.6815310487893893,0.2766056499926022,0.9515375320644709
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_3.5_,150Gu075,3.5,8611644.419517236,570162.2720607171,2647686.964573805,0.7279808138735401,0.6797824472626232,0.2262653486724684,0.9379030411755782
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_3_,150Gu075,3,8686217.376171613,495589.3154064282,2831449.6835148125,0.7230526932048825,0.6817991562842907,0.2544009525108972,0.9460248584996889
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_4.5_,150Gu075,4.5,8331141.316647965,850665.3749302519,2034533.1247710488,0.7427682696011269,0.6669266502441333,0.12893625291922906,0.9073531600583028
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_4_,150Gu075,4,8481353.225198574,700453.4663793289,2303144.0113737313,0.7384753704705814,0.6774865613327841,0.17455067383029155,0.9237128933435479
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_5.5_,150Gu075,5.5,4923016.430441115,4258790.261137269,116539.44838440037,0.529450759988681,0.0714348723209076,-0.4511367916896104,0.5361707772563475
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_5_,150Gu075,5,8140542.915666395,1041263.7759118474,1674576.3142527884,0.7498393259793854,0.6539267393146945,0.06897471920442722,0.8865948923900872
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_6.5_,150Gu075,6.5,2103828.722312667,7077977.969265762,28423.719568576093,0.22842302834969624,-0.5400678403151516,-0.7677741959175693,0.22913014758220762
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_6_,150Gu075,6,3429339.554257836,5752467.13732065,71990.36095635849,0.3705872880925625,-0.25104587553348723,-0.6186665617317342,0.3734928940949293
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_7.5_,150Gu075,7.5,773289.526762811,8408517.164815255,15267.140633590197,0.08407995204457927,-0.8301800961204603,-0.9141174832051628,0.08421975682325182
Geul_8m_ECMWF_13_00_Ge150Gu075_inf_7_,150Gu075,7,1448844.1106967635,7732962.580881504,22488.021180985503,0.1574095741076538,-0.6827376421871323,-0.8397557058974805,0.1577951006119168
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_2.5_,150Gu125,2.5,8747053.101097645,434753.5904804088,3023451.5318439305,0.7166626826716359,0.6810424948376651,0.28193775237481145,0.9526505398028926
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_3.5_,150Gu125,3.5,8623272.173909625,558534.517668354,2676550.1534694806,0.7271894653356684,0.6800889669304765,0.23067525890562246,0.9391694318525928
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_3_,150Gu125,3,8696952.818987504,484853.87259047147,2869202.8630266893,0.7216783606037734,0.6814448954825704,0.25968189818494714,0.947194066606172
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_4.5_,150Gu125,4.5,8349471.038900636,832335.65267757,2082505.6533231742,0.7412322015981648,0.6673408154937736,0.13615729917210007,0.9093494689404635
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_4_,150Gu125,4,8488748.111603541,693058.5799747286,2328320.150465852,0.7375025686594429,0.6772896283951246,0.1780980176800082,0.9245182780192471
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_5.5_,150Gu125,5.5,4873206.805744818,4308599.885833474,108224.07308066814,0.5245630428139615,0.060775570524396576,-0.45746724515616954,0.5307459598571822
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_5_,150Gu125,5,7850639.850910398,1331166.8406678305,1260840.1795428807,0.7517863955182813,0.6243123118787071,-0.007659348915443176,0.8550212517664081
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_6.5_,150Gu125,6.5,2188518.684902815,6993288.006675578,36082.44695526452,0.23742080773722077,-0.5212439908489814,-0.7577164052148367,0.2383538184168196
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_6_,150Gu125,6,3531818.3215385107,5649988.370040144,72636.59367569695,0.38163487663984763,-0.22888141222677738,-0.6074351120330019,0.3846539619242708
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_7.5_,150Gu125,7.5,660816.6211548776,8520990.070423206,14545.601796992094,0.07185638393071572,-0.8547055613485672,-0.9264456064435185,0.07197021712088587
Geul_8m_ECMWF_13_00_Ge150Gu125_inf_7_,150Gu125,7,1335252.6040497941,7846554.087528528,24070.59580954197,0.14504349366888722,-0.7072983139150982,-0.8519547137595342,0.14542373292115876
Geul_8m_ECMWF_13_00_Ge1Gu075_inf_2.5_,1Gu075,2.5,8718234.501506643,463572.1900712754,2962061.798101621,0.7179124600135312,0.6797391060723844,0.2721130701131078,0.9495118765137486
