Job,Burn,Inf,AreaTP,AreaFN,AreaFP,CSI,F_3,Bias,Hit_Rate
Ge250Gu075_inf_8_,250Gu075,8,7920938.636,1260868.055,2058984.307,0.704660254,0.592491274,0.086923661,0.862677565
Ge250Gu125_inf_2.5_,250Gu125,2.5,8883601.555,298205.1369,3913900.85,0.6783598,0.655588588,0.393789135,0.967522172
Ge250Gu125_inf_3.5_,250Gu125,3.5,8827001.024,354805.6678,3691413.755,0.685687087,0.658125555,0.363393415,0.96135775
Ge250Gu125_inf_3_,250Gu125,3,8856209.611,325597.0801,3797498.262,0.682333117,0.657247253,0.378128325,0.964538887
Ge250Gu125_inf_4.5_,250Gu125,4.5,8746239.618,435567.0732,3465348.638,0.691557856,0.657117931,0.329976623,0.952561943
Ge250Gu125_inf_4_,250Gu125,4,8783520.834,398285.8573,3587756.688,0.687848173,0.656657924,0.347368545,0.956622278
Ge250Gu125_inf_5.5_,250Gu125,5.5,8625791.15,556015.5418,3178167.141,0.69788102,0.652895849,0.285581225,0.939443776
Ge250Gu125_inf_5_,250Gu125,5,8703210.067,478596.6242,3333088.201,0.695428139,0.657185978,0.31088561,0.94787555
Ge250Gu125_inf_6.5_,250Gu125,6.5,8470178.785,711627.9068,2858283.331,0.703497961,0.644393095,0.233794448,0.922495874
Ge250Gu125_inf_6_,250Gu125,6,8572542.132,609264.5592,3051613.14,0.700747808,0.650944518,0.265998693,0.933644371
Ge250Gu125_inf_7.5_,250Gu125,7.5,8241506.236,940300.4556,2425767.28,0.710011089,0.629003597,0.161783718,0.897590911
Ge250Gu125_inf_7_,250Gu125,7,8407024.768,774781.9232,2759134.464,0.704050431,0.639165937,0.216117874,0.915617705
Ge250Gu125_inf_8_,250Gu125,8,7914102.023,1267704.668,2042870.637,0.705062764,0.59212369,0.084424122,0.861932982
Ge250Gu175_inf_2.5_,250Gu175,2.5,8888493.87,293312.8219,3947324.233,0.677005502,0.65466489,0.397962137,0.968054999
Ge250Gu175_inf_3.5_,250Gu175,3.5,8833023.049,348783.6427,3717768.147,0.684753037,0.657714654,0.366919564,0.962013615
Ge250Gu175_inf_3_,250Gu175,3,8861514.597,320292.0949,3823356.101,0.681384365,0.656756293,0.3815223,0.965116659
Ge250Gu175_inf_4.5_,250Gu175,4.5,8753156.349,428650.3425,3484851.494,0.691039122,0.657198283,0.332854007,0.953315251
Ge250Gu175_inf_4_,250Gu175,4,8789186.771,392619.9204,3606214.211,0.687298436,0.656596272,0.349995856,0.957239361
Ge250Gu175_inf_5.5_,250Gu175,5.5,8642182.525,539624.1665,3225202.723,0.696556457,0.653062965,0.29248912,0.941228978
Ge250Gu175_inf_5_,250Gu175,5,8713786.735,468019.9567,3368424.319,0.694312856,0.657021116,0.315886019,0.949027466
Ge250Gu175_inf_6.5_,250Gu175,6.5,8492843.804,688962.8875,2902718.897,0.702786695,0.645774702,0.241102441,0.924964344
Ge250Gu175_inf_6_,250Gu175,6,8587290.512,594516.18,3099403.75,0.699221836,0.650813238,0.272809879,0.935250632
Ge250Gu175_inf_7.5_,250Gu175,7.5,8258229.674,923577.0178,2470053.059,0.708747775,0.629483431,0.168428294,0.899412278
Ge250Gu175_inf_7_,250Gu175,7,8429292.215,752514.4764,2796644.325,0.703704695,0.640882342,0.222628282,0.918042875
Ge250Gu175_inf_8_,250Gu175,8,7906711.389,1275095.303,2037484.66,0.704742496,0.59109046,0.083032608,0.861128061
Ge250Gu225_inf_2.5_,250Gu225,2.5,8896827.027,284979.6647,3985315.207,0.67568502,0.654041743,0.403007346,0.968962572
Ge250Gu225_inf_3.5_,250Gu225,3.5,8841193.258,340613.4334,3749464.294,0.683706441,0.65736615,0.371261449,0.962903441
Ge250Gu225_inf_3_,250Gu225,3,8867689.379,314117.3126,3857929.247,0.6800513,0.655962061,0.385960199,0.965789161
Ge250Gu225_inf_4.5_,250Gu225,4.5,8761414.107,420392.5845,3527191.57,0.689386679,0.656308338,0.338364669,0.954214612
Ge250Gu225_inf_4_,250Gu225,4,8798869.312,382937.3791,3643615.335,0.686049106,0.656191423,0.355123786,0.958293897
Ge250Gu225_inf_5.5_,250Gu225,5.5,8652948.318,528858.374,3246230.834,0.696244142,0.65369049,0.295951826,0.942401491
Ge250Gu225_inf_5_,250Gu225,5,8724420.711,457385.9807,3400637.565,0.693380438,0.657029315,0.320552554,0.950185623
Ge250Gu225_inf_6.5_,250Gu225,6.5,8506002.48,675804.2112,2933272.046,0.70210047,0.646318397,0.245863141,0.926397469
Ge250Gu225_inf_6_,250Gu225,6,8596449.532,585357.1594,3122051.884,0.698679157,0.651104068,0.276274029,0.93624815
Ge250Gu225_inf_7.5_,250Gu225,7.5,8257646.911,924159.7809,2469564.733,0.708727463,0.62940978,0.168311641,0.899348809
Ge250Gu225_inf_7_,250Gu225,7,8446516.73,735289.9612,2827216.249,0.703347539,0.642119414,0.227833841,0.919918815
Ge250Gu225_inf_8_,250Gu225,8,7896093.611,1285713.081,2019262.74,0.704941047,0.590156196,0.079891647,0.859971667
Ge2Gu075_inf_2.5_,2Gu075,2.5,8874809.496,306997.1958,3884247.05,0.679226465,0.65573068,0.389601957,0.96656462
Ge2Gu075_inf_3.5_,2Gu075,3.5,8800574.397,381232.2944,3647411.631,0.685979003,0.656263062,0.355722947,0.958479599
Ge2Gu075_inf_3_,2Gu075,3,8845568.737,336237.955,3764210.319,0.683265651,0.657293342,0.373343992,0.963379979
Ge2Gu075_inf_4.5_,2Gu075,4.5,8727790.574,454016.1173,3410247.894,0.693118864,0.657063103,0.32196624,0.950552638
Ge2Gu075_inf_4_,2Gu075,4,8767262.24,414544.4517,3537274.474,0.689299968,0.656707641,0.340099735,0.954851538
Ge2Gu075_inf_5.5_,2Gu075,5.5,8607060.274,574746.4176,3136091.184,0.698744247,0.652084791,0.27895869,0.937403777
Ge2Gu075_inf_5_,2Gu075,5,8682559.139,499247.5528,3277018.668,0.696900301,0.656828501,0.302529906,0.945626436
Ge2Gu075_inf_6.5_,2Gu075,6.5,8419410.331,762396.3601,2790870.287,0.703218699,0.63954068,0.220923179,0.916966629
Ge2Gu075_inf_6_,2Gu075,6,8540727.122,641079.57,2998240.602,0.701206401,0.648572814,0.25672083,0.930179365
Ge2Gu075_inf_7.5_,2Gu075,7.5,8157601.923,1024204.769,2329137.552,0.708682255,0.619705647,0.14212157,0.888452806
Ge2Gu075_inf_7_,2Gu075,7,8340306.968,841499.7239,2614795.793,0.707009241,0.635675166,0.193131497,0.908351401
Ge2Gu075_inf_8_,2Gu075,8,7691475.705,1490330.986,1936368.809,0.691792975,0.557748411,0.048578438,0.837686521
Ge2Gu125_inf_2.5_,2Gu125,2.5,8879882.431,301924.2602,3905089.236,0.678532364,0.655461633,0.392424399,0.967117119
Ge2Gu125_inf_3.5_,2Gu125,3.5,8808369.078,373437.6137,3677074.553,0.685002755,0.655961534,0.359802493,0.959328526
Ge2Gu125_inf_3_,2Gu125,3,8851399.676,330407.0157,3788311.516,0.682445567,0.656971087,0.376603932,0.964015032
Ge2Gu125_inf_4.5_,2Gu125,4.5,8736046.998,445759.6939,3447795.454,0.691711971,0.656417139,0.326954799,0.951451854
Ge2Gu125_inf_4_,2Gu125,4,8775237.629,406569.0628,3571039.916,0.688100304,0.656219652,0.344645772,0.955720146
Ge2Gu125_inf_5.5_,2Gu125,5.5,8614451.518,567355.1741,3163354.251,0.697799855,0.651842157,0.282732927,0.938208765
Ge2Gu125_inf_5_,2Gu125,5,8689979.843,491826.849,3310271.871,0.695639224,0.656268126,0.306959743,0.946434633
Ge2Gu125_inf_6.5_,2Gu125,6.5,8444913.979,736892.7122,2827449.947,0.703200392,0.641839999,0.227684736,0.919744258
Ge2Gu125_inf_6_,2Gu125,6,8553817.936,627988.7553,3029881.748,0.700461527,0.649036308,0.261592633,0.931605099
Ge2Gu125_inf_7.5_,2Gu125,7.5,8180259.544,1001547.147,2373607.825,0.707915716,0.621242309,0.149432538,0.890920471
Ge2Gu125_inf_7_,2Gu125,7,8372519.782,809286.91,2681331.914,0.705759248,0.637540631,0.203886345,0.911859731
Ge2Gu125_inf_8_,2Gu125,8,7604322.894,1577483.798,1911789.799,0.685469577,0.543271887,0.03640961,0.828194619
Ge2Gu175_inf_2.5_,2Gu175,2.5,8885356.574,296450.1179,3935964.34,0.67735262,0.654753497,0.396383233,0.967713313
Ge2Gu175_inf_3.5_,2Gu175,3.5,8827048.462,354758.2293,3703775.321,0.685032966,0.657501557,0.364744892,0.961362917
Ge2Gu175_inf_3_,2Gu175,3,8858015.326,323791.3658,3813209.51,0.681647117,0.656730536,0.380036115,0.96473555
Ge2Gu175_inf_4.5_,2Gu175,4.5,8742897.398,438909.2936,3469197.564,0.691083271,0.656389638,0.330031809,0.952197938
Ge2Gu175_inf_4_,2Gu175,4,8781467.685,400339.0062,3590717.27,0.687527987,0.65618422,0.347467374,0.956398668
Ge2Gu175_inf_5.5_,2Gu175,5.5,8631414.023,550392.6686,3209051.374,0.696595343,0.652176089,0.289557251,0.940056169
Ge2Gu175_inf_5_,2Gu175,5,8701275.493,480531.1982,3343238.74,0.694710094,0.656344469,0.311780419,0.947664854
Ge2Gu175_inf_6.5_,2Gu175,6.5,8472271.026,709535.6654,2883616.758,0.702194255,0.643386898,0.236781405,0.922723742
Ge2Gu175_inf_6_,2Gu175,6,8570212.312,611594.3798,3081112.971,0.698872091,0.648998619,0.268957807,0.933390628
Ge2Gu175_inf_7.5_,2Gu175,7.5,8198631.11,983175.5818,2418471.068,0.706761621,0.622007134,0.156319506,0.892921337
Ge2Gu175_inf_7_,2Gu175,7,8395258.427,786548.2648,2765063.276,0.702716147,0.636878963,0.215482103,0.91433622
Ge2Gu175_inf_8_,2Gu175,8,7593079.599,1588727.093,1888450.223,0.685899131,0.542386013,0.032643154,0.8269701
